zip
005|2bbd8481
bounty|2b9168c5|The Bounty
bowler|4b35544e|4 Player Bowling Alley
bowlrama|3eacbd94|Bowl-O-Rama
boxer|5759a1c6|Boxer (prototype)
boxingb|ebb26fb3|Boxing Bugs
boxyboy|8aea253f|Boxy Boy (US)
bradley|e5fff01f|Bradley Trainer
brain|f475878f|Brain
brdrlinb|7c714b04|Borderline (bootleg)
breakers|ef7cfb06|Breakers
breakrev|acf6b455|Breakers Revenge
breywood|ff6fee69|Breywood (Japan revision 2)
brickyrd|4b09b880|Brickyard
brival|148e0cbf|Burning Rival (Japan)
brix|d698f2ea|Brix
brkthru|217ac421|Break Thru (US)
brkthruj|b06e3500|Kyohkoh-Toppa (Japan)
brubber|ca4c373d|Burnin' Rubber
brutforc|13932a0d|Brute Force
bshark|ad87269c|Battle Shark (US)
bsharkj|b0f2e1d6|Battle Shark (Japan)
bsktball|6b8031f9|Basketball
bssoccer|cc14754e|Back Street Soccer
bstars|58c51b20|Baseball Stars Professional
bstars2|8fc1d423|Baseball Stars 2
btime|e6e30b8b|Burger Time (Data East set 1)
btime2|8ce3fdff|Burger Time (Data East set 2)
btimem|0f7b27bb|Burger Time (Midway)
btlecity|7da73cc4|Vs. Battle City
btlfield|147b8e80|Battle Field (Japan)
btlkroad|18ed9e21|Battle K-Road
btoads|007659a0|Battle Toads
bubblem|6be783a2|Bubble Memories - The Story Of Bubble Bobble 3 (World)
bubblemj|ca895644|Bubble Memories - The Story Of Bubble Bobble 3 (Japan)
bubbles|47eaea67|Bubbles
bubblesp|8cbcf9d2|Bubbles (prototype version)
bubblesr|b91808ba|Bubbles (Solid Red label)
bubbobr1|feae4348|Bubble Bobble (US)
bubl2000|69b4181d|Bubble 2000
bublbob2|5ba85f5b|Bubble Bobble 2 (World)
bublbobl|725df221|Bubble Bobble
bublbobr|284d7775|Bubble Bobble (US with mode select)
bubsympe|18cb11ed|Bubble Symphony (Europe)
bubsymph|dd4698dc|Bubble Symphony (Japan)
bubsympu|a43c12d2|Bubble Symphony (US)
buckrog|214fc763|Buck Rogers: Planet of Zoom
buckrogn|f505c4bd|Buck Rogers: Planet of Zoom (not encrypted)
bucky|9a283468|Bucky O'Hare (World version EA)
buckyua|6fb94308|Bucky O'Hare (US version UA)
buggychl|36b35a07|Buggy Challenge
buggycht|e8de4627|Buggy Challenge (Tecfri)
bullfgt|b95b9f7f|Bullfight
buraiken|c07c625e|Hissatsu Buraiken (Japan)
burglarx|d292786b|Burglar X
burnforc|de15b62c|Burning Force (Japan)
burningf|adbefcf5|Burning Fight (set 1)
burningh|b9fc0678|Burning Fight (set 2)
butasan|8920e6e3|Butasan (Japan)
bwcasino|5493c6bc|Boardwalk Casino
bwidow|d276b76f|Black Widow
bwing|f20db1dd|B-Wings (Japan)
bwings|567a2240|Battle Wings
bzone|ed61e1d3|Battle Zone (set 1)
bzone2|701575da|Battle Zone (set 2)
bzonec|db832e88|Battle Zone (cocktail)
cabal|969ebf0f|Cabal (US set 1)
cabal2|bbd56b11|Cabal (US set 2)
cabalbl|08cdcca9|Cabal (bootleg)
cachat|53295176|Cachat (Japan)
cadash|a0dcc078|Cadash (World)
cadashf|c97a61f6|Cadash (France)
cadashi|d74d3e81|Cadash (Italy)
cadashj|a761a81c|Cadash (Japan)
cadashu|1b7dfa8e|Cadash (US)
cairblad|c8716878|Change Air Blade (Japan)
calibr50|0d50da5c|Caliber 50
calipso|cfeb8037|Calipso
calspeed|63fa698b|California Speed
cameltrj|6e30a3a3|Cameltry (Japan)
cameltry|7b13d78f|Cameltry (US)
camltrua|90c23aa7|Cameltry (US, alt sound)
cannball|e2659adf|Cannon Ball
cannonb|5f99b5f6|Cannon Ball (Crazy Climber hardware)
canyon|7f0a76c1|Canyon Bomber
canyonp|f7acc37a|Canyon Bomber (prototype)
capbowl|332f708f|Capcom Bowling (set 1)
capbowl2|97fd8232|Capcom Bowling (set 2)
capitol|cee20fd8|Capitol
captaven|6c2fe62e|Captain America and The Avengers (Asia Rev 1.9)
captavna|ab2b24d1|Captain America and The Avengers (Asia Rev 1.0)
captavne|e9aaf215|Captain America and The Avengers (UK Rev 1.4)
captavnj|6e2d5884|Captain America and The Avengers (Japan Rev 0.2)
captavnu|5acf375e|Captain America and The Avengers (US Rev 1.9)
captavuu|025de822|Captain America and The Avengers (US Rev 1.6)
captcomj|7ce92143|Captain Commando (Japan 911202)
captcomm|8f8a82c3|Captain Commando (World 911014)
captcomu|06031588|Captain Commando (US 910928)
caractn|1eb4f146|Car Action
carjmbre|86cecc69|Car Jamboree
carnevil|2f0b633a|CarnEvil
carnival|87bb4069|Carnival (upright)
carnvckt|e8c5e450|Carnival (cocktail)
carpolo|92bcf55d|Car Polo
castfant|839348a1|Cassette: Astro Fantasia
catch22|f0bd72ba|Catch-22 (version 8.0)
cavelon|c5550f89|Cavelon
cavenger|75896eaf|Cosmic Avenger
cawing|556701cc|Carrier Air Wing (World 901012)
cawingj|87a7eaa2|U.S. Navy (Japan 901012)
cawingu|9e790df6|Carrier Air Wing (US 901012)
cbasebal|762ceddb|Capcom Baseball (Japan)
cbdash|4e1432bb|Cassette: Boulder Dash
cbnj|112e83ca|Cassette: Bump N Jump
cbtime|82a4321c|Cassette: Burger Time
cburnrb2|a5bda97c|Cassette: Burnin' Rubber (set 2)
cburnrub|01172c6d|Cassette: Burnin' Rubber (set 1)
cbuster|937de2a4|Crude Buster (World FX version)
cbusterj|d7155c4e|Crude Buster (Japan)
cbusterw|fad5bab1|Crude Buster (World FU version)
ccasino|76d17fde|Chinese Casino [BET] (Japan)
ccastle2|96cbb8dd|Crystal Castles (version 2)
ccastle3|0b7ac4ba|Crystal Castles (version 3)
ccastles|d1df252e|Crystal Castles (version 4)
ccboot|5bf7b010|Crazy Climber (bootleg set 1)
ccboot2|c5b4066c|Crazy Climber (bootleg set 2)
cchasm|5219527c|Cosmic Chasm (set 1)
cchasm1|a6ce5683|Cosmic Chasm (set 2)
cclimber|c342b2c9|Crazy Climber (US)
cclimbr2|87df099d|Crazy Climber 2 (Japan)
cclimbrj|2cddc1da|Crazy Climber (Japan)
cdiscon1|4a5289f1|Cassette: Disco No.1
