sms
20 em 1 (Brazil)|F0F35C22
Pit-Fighter (Brazil)|AA4D4B5A
Pit-Fighter (Europe)|B840A446,MK-29009
Pooyan (Korea) (En) (Unl)|CA082218
Populous (Europe, Brazil)|C7A1FDEF,27014
Poseidon Wars 3-D (USA, Europe, Brazil)|ABD48AD2
Power Boggle Boggle (Korea) (En) (Unl)|6D309AC5
Power Strike (USA, Europe, Brazil)|4077EFD9
Power Strike II (Europe, Brazil)|A109A6FE,9024
Ppang Gongjang (Korea) (En) (Unl)|7778E256
Predator 2 (Brazil)|2B54C82B
Predator 2 (Europe)|0047B615,7026
Prince of Persia (Europe, Brazil)|7704287D,MK-27022
Prince of Persia (Taiwan) (En) (Unl)|CAFD2D83
Pro Wrestling (USA, Europe, Brazil)|FBDE42D3
Pro Yakyuu, The - Pennant Race (Japan)|DA9BE8F0,G-1323
Promocao Especial M. System III Compact (Brazil) (Sample)|30AF0233
Psychic World (Europe, Brazil)|5C0B1F0F,7066
Psycho Fox (USA, Europe, Brazil)|97993479
Putt & Putter (Europe, Brazil)|357D4F78,5122
Putt & Putter (Europe, Brazil) (Beta)|8167CCC4
Puzzle Game (Korea) (En) (Unl)|76E8265F
Quartet (Taiwan) (En) (Unl)|CACDF759
Quartet (USA, Europe)|E0F34FA6
Quest for the Shaven Yak Starring Ren Hoek & Stimpy (Brazil)|F42E145C
R-Type (Taiwan) (En) (Unl)|E532716F
R-Type (World)|BB54B6B0,9002
R-Type (World) (Beta)|0D0840D5
R.C. Grand Prix (USA, Europe, Brazil)|54316FEA
R.C. Grand Prix (USA, Europe, Brazil) (Beta)|767F11B8
Rainbow Islands (Brazil)|00EC173A
Rainbow Islands (Europe)|C172A22C,7117
Rambo - First Blood Part II (USA)|BBDA65F0,5064
Rambo III (USA, Europe, Brazil)|DA5A7013
Rampage (USA, Europe, Brazil)|42FC47EE
Rampart (Europe)|426E5C8A,301026
Rastan (USA, Europe, Brazil)|C547EB1B
Rastan (USA, Europe, Brazil) (Beta)|F063BFC8
Reggie Jackson Baseball (USA)|6D94BB0E,7019
Renegade (Europe, Brazil)|3BE7F641,7116
Rescue Mission (USA, Europe, Brazil)|79AC8E7F
Road Fighter (Korea) (En) (Unl)|8034BD27
Road Rash (Europe, Brazil)|B876FC74,29012-50
RoboCop 3 (Europe, Brazil)|9F951756,MK-27064
RoboCop versus The Terminator (Europe, Brazil)|8212B754,MK-29022-50
Rocky (World)|1BCC7BE3,7002
Running Battle (Europe, Brazil)|1FDAE719,7037
Sagaia (Europe, Brazil)|66388128,7078
Sagak-ui Bimil (Korea) (En) (Unl)|643B6B76
Samgukji 3 (Korea) (Unl)|97D03541
Sapo Xule - O Mestre do Kung Fu (Brazil)|890E83E4
Sapo Xule - S.O.S. Lagoa Poluida (Brazil, Portugal)|7AB2946A,023.510
Sapo Xule vs. Os Invasores do Brejo (Brazil)|9A608327,026340
Satellite 7 (Japan)|16249E19,C-506
Schtroumpfs Autour du Monde, Les (Europe) (En,Fr,De,Es)|97E5BB7D,MK-27085
Schtroumpfs Autour du Monde, Les (Europe) (En,Fr,De,Es) (Beta) (1996-08-12)|7982AE67
Scramble Spirits (Europe, Brazil)|9A8B28EC,7031
Scramble Spirits (Taiwan) (En) (Unl)|7D59283B
SDI (Japan)|1DE2C2D0,G-1338
Secret Command (Europe)|00529114,5081
Sega Chess (Europe, Brazil)|A8061AEF,7069
Sega Graphic Board (USA) (v2.0) (Proto)|276AA542
Sega World Tournament Golf (Europe, Brazil)|296879DD,7103
Seishun Scandal (Japan)|F0BA2BC6,C-510
Sensible Soccer (Europe)|F8176918,MK-25014
Shadow Dancer (Taiwan) (En) (Unl)|AB67C6BD
Shadow Dancer - The Secret of Shinobi (Europe, Brazil)|3793C01A,9009
Shadow of the Beast (Europe, Brazil)|1575581D,7019
Shadow of the Beast (Taiwan) (En) (Unl)|AC2EA669
Shanghai (USA, Europe)|AAB67EC3
Shanghai (USA, Europe) (Beta)|D5D25156
Shangwei Mingling (Taiwan) (En) (Unl)|89EFCC22
Shinobi (Japan, Brazil)|E1FFF1BB,G-1353
Shinobi (USA, Europe, Brazil) (Rev 1)|0C6FAC4E
Shooting Gallery (USA, Europe, Brazil)|4B051022
Simpsons, The - Bart vs. The Space Mutants (Europe, Brazil)|D1CC08EE,MK-27031
Simpsons, The - Bart vs. The World (Europe, Brazil)|F6B2370A,MK-27053
Sitio do Picapau Amarelo (Brazil)|ABDF3923
Sky Fighter (Korea) (En) (Unl)|77BA2667
Sky Jaguar (Korea) (Clover) (Unl)|E3F260CA
Sky Jaguar (Korea) (Unl)|5B8E65E4
Slap Shoot (USA) (Beta)|FBB0A92A
Slap Shot (Europe)|C93BD0E9,7035
Slap Shot (Europe) (Sample)|D33B296A,7035
Slap Shot (USA, Europe, Brazil)|702C3E98,7035
Smurfs, The (Europe, Brazil) (En,Fr,De,Es)|3E63768A,MK-27082
Solomon no Kagi - Oujo Rihita no Namida (Japan)|11645549,002
Solomon no Kagi - Oujo Rihita no Namida (Japan) (Beta)|92DC4CD6
Sonic Blast (Brazil)|96B3F29E,030.030
Sonic Chaos (Europe, Brazil)|AEDF3BDF,9021
Sonic Chaos (Europe, Brazil) (Beta) (1993-06-30)|D3AD67FA
Sonic Chaos (Europe, Brazil) (Beta) (1993-07-13)|765234D8
Sonic Spinball (Europe, Brazil)|11C1BC8A,9034
